step	train_loss	eval_loss
310	3.43767929	
311	3.89607787	
312	3.75074100	
313	3.69743478	
314	3.77503204	
315	3.59538233	
316	3.89019847	
317	3.49717712	
318	3.58370245	
319	3.80070031	
320	3.68450916	
321	3.77858400	
322	3.59189320	
323	3.67420399	
324	3.68345463	
325	3.76657069	
