step:115/1390 train_time:275578ms step_avg:2396.33ms
step:116/1390 train_time:277970ms step_avg:2396.30ms
step:117/1390 train_time:280367ms step_avg:2396.30ms
step:118/1390 train_time:282760ms step_avg:2396.27ms
step:119/1390 train_time:285154ms step_avg:2396.25ms
step:120/1390 train_time:287546ms step_avg:2396.22ms
step:121/1390 train_time:289944ms step_avg:2396.23ms
step:122/1390 train_time:292336ms step_avg:2396.20ms
step:123/1390 train_time:294730ms step_avg:2396.18ms
step:124/1390 train_time:297122ms step_avg:2396.15ms
step:125/1390 train_time:299519ms step_avg:2396.16ms
step:126/1390 train_time:301911ms step_avg:2396.12ms
step:127/1390 train_time:304305ms step_avg:2396.11ms
step:128/1390 train_time:306698ms step_avg:2396.07ms
step:129/1390 train_time:309094ms step_avg:2396.08ms
step:130/1390 train_time:311485ms step_avg:2396.04ms
step:131/1390 train_time:313879ms step_avg:2396.03ms
step:132/1390 train_time:316271ms step_avg:2395.99ms
step:133/1390 train_time:318665ms step_avg:2395.98ms
step:134/1390 train_time:321060ms step_avg:2395.97ms
step:135/1390 train_time:323454ms step_avg:2395.95ms
step:136/1390 train_time:325846ms step_avg:2395.93ms
step:137/1390 train_time:328241ms step_avg:2395.92ms
step:138/1390 train_time:330635ms step_avg:2395.91ms
step:139/1390 train_time:333030ms step_avg:2395.90ms
step:140/1390 train_time:335422ms step_avg:2395.87ms
step:141/1390 train_time:337816ms step_avg:2395.86ms
step:142/1390 train_time:340210ms step_avg:2395.85ms
step:143/1390 train_time:342605ms step_avg:2395.84ms
step:144/1390 train_time:344997ms step_avg:2395.81ms
step:145/1390 train_time:347391ms step_avg:2395.80ms
step:146/1390 train_time:349786ms step_avg:2395.79ms
step:147/1390 train_time:352181ms step_avg:2395.79ms
step:148/1390 train_time:354573ms step_avg:2395.77ms
step:149/1390 train_time:356968ms step_avg:2395.76ms
step:150/1390 train_time:359362ms step_avg:2395.75ms
step:150/1390 val_loss:4.7309 train_time:359462ms step_avg:2396.42ms
step:151/1390 train_time:361758ms step_avg:2395.75ms
step:152/1390 train_time:364151ms step_avg:2395.73ms
step:153/1390 train_time:366546ms step_avg:2395.72ms
step:154/1390 train_time:368938ms step_avg:2395.70ms
step:155/1390 train_time:371335ms step_avg:2395.71ms
step:156/1390 train_time:373728ms step_avg:2395.69ms
step:157/1390 train_time:376123ms step_avg:2395.69ms
step:158/1390 train_time:378515ms step_avg:2395.66ms
step:159/1390 train_time:380912ms step_avg:2395.67ms
step:160/1390 train_time:383305ms step_avg:2395.65ms
step:161/1390 train_time:385699ms step_avg:2395.65ms
step:162/1390 train_time:388092ms step_avg:2395.63ms
step:163/1390 train_time:390489ms step_avg:2395.64ms
step:164/1390 train_time:392881ms step_avg:2395.62ms
step:165/1390 train_time:395276ms step_avg:2395.61ms
step:166/1390 train_time:397668ms step_avg:2395.59ms
step:167/1390 train_time:400065ms step_avg:2395.60ms
step:168/1390 train_time:402457ms step_avg:2395.58ms
step:169/1390 train_time:404852ms step_avg:2395.57ms
step:170/1390 train_time:407244ms step_avg:2395.55ms
step:171/1390 train_time:409640ms step_avg:2395.55ms
step:172/1390 train_time:412032ms step_avg:2395.54ms
step:173/1390 train_time:414427ms step_avg:2395.53ms
step:174/1390 train_time:416819ms step_avg:2395.51ms
step:175/1390 train_time:419216ms step_avg:2395.52ms
step:176/1390 train_time:421608ms step_avg:2395.50ms
step:177/1390 train_time:424002ms step_avg:2395.49ms
step:178/1390 train_time:426394ms step_avg:2395.47ms
step:179/1390 train_time:428789ms step_avg:2395.47ms
step:180/1390 train_time:431183ms step_avg:2395.46ms
step:181/1390 train_time:433578ms step_avg:2395.46ms
step:182/1390 train_time:435971ms step_avg:2395.45ms
step:183/1390 train_time:438366ms step_avg:2395.44ms
step:184/1390 train_time:440760ms step_avg:2395.43ms
step:185/1390 train_time:443154ms step_avg:2395.43ms
step:186/1390 train_time:445547ms step_avg:2395.41ms
step:187/1390 train_time:447941ms step_avg:2395.41ms
step:188/1390 train_time:450335ms step_avg:2395.40ms
step:189/1390 train_time:452730ms step_avg:2395.40ms
step:190/1390 train_time:455122ms step_avg:2395.38ms
step:191/1390 train_time:457517ms step_avg:2395.38ms
step:192/1390 train_time:459911ms step_avg:2395.37ms
step:193/1390 train_time:462307ms step_avg:2395.37ms
step:194/1390 train_time:464699ms step_avg:2395.36ms
step:195/1390 train_time:467094ms step_avg:2395.35ms
step:196/1390 train_time:469488ms step_avg:2395.35ms
step:197/1390 train_time:471882ms step_avg:2395.34ms
step:198/1390 train_time:474274ms step_avg:2395.32ms
step:199/1390 train_time:476669ms step_avg:2395.32ms
step:200/1390 train_time:479061ms step_avg:2395.30ms
step:200/1390 val_loss:4.5904 train_time:479161ms step_avg:2395.80ms
step:201/1390 train_time:481457ms step_avg:2395.31ms
step:202/1390 train_time:483849ms step_avg:2395.29ms
step:203/1390 train_time:486244ms step_avg:2395.29ms
step:204/1390 train_time:488636ms step_avg:2395.28ms
step:205/1390 train_time:491033ms step_avg:2395.28ms
step:206/1390 train_time:493426ms step_avg:2395.27ms
step:207/1390 train_time:495821ms step_avg:2395.27ms
step:208/1390 train_time:498213ms step_avg:2395.26ms
step:209/1390 train_time:500610ms step_avg:2395.26ms
step:210/1390 train_time:503002ms step_avg:2395.25ms
step:211/1390 train_time:505397ms step_avg:2395.24ms
step:212/1390 train_time:507790ms step_avg:2395.23ms
step:213/1390 train_time:510187ms step_avg:2395.24ms
step:214/1390 train_time:512580ms step_avg:2395.23ms
step:215/1390 train_time:514974ms step_avg:2395.23ms
step:216/1390 train_time:517367ms step_avg:2395.22ms
step:217/1390 train_time:519763ms step_avg:2395.22ms
step:218/1390 train_time:522156ms step_avg:2395.21ms
step:219/1390 train_time:524550ms step_avg:2395.21ms
step:220/1390 train_time:526942ms step_avg:2395.19ms
step:221/1390 train_time:529337ms step_avg:2395.19ms
step:222/1390 train_time:531730ms step_avg:2395.18ms
step:223/1390 train_time:534124ms step_avg:2395.18ms
step:224/1390 train_time:536516ms step_avg:2395.16ms
step:225/1390 train_time:538910ms step_avg:2395.16ms
step:226/1390 train_time:541304ms step_avg:2395.15ms
step:227/1390 train_time:543699ms step_avg:2395.15ms
step:228/1390 train_time:546091ms step_avg:2395.14ms
step:229/1390 train_time:548485ms step_avg:2395.13ms
step:230/1390 train_time:550880ms step_avg:2395.13ms
step:231/1390 train_time:553274ms step_avg:2395.13ms
step:232/1390 train_time:555666ms step_avg:2395.11ms
step:233/1390 train_time:558061ms step_avg:2395.11ms
step:234/1390 train_time:560455ms step_avg:2395.11ms
step:235/1390 train_time:562850ms step_avg:2395.11ms
step:236/1390 train_time:565243ms step_avg:2395.10ms
step:237/1390 train_time:567638ms step_avg:2395.10ms
step:238/1390 train_time:570032ms step_avg:2395.09ms
step:239/1390 train_time:572426ms step_avg:2395.09ms
step:240/1390 train_time:574819ms step_avg:2395.08ms
step:241/1390 train_time:577213ms step_avg:2395.08ms
step:242/1390 train_time:579608ms step_avg:2395.07ms
step:243/1390 train_time:582003ms step_avg:2395.07ms
step:244/1390 train_time:584394ms step_avg:2395.06ms
step:245/1390 train_time:586789ms step_avg:2395.06ms
step:246/1390 train_time:589180ms step_avg:2395.04ms
step:247/1390 train_time:591577ms step_avg:2395.05ms
step:248/1390 train_time:593969ms step_avg:2395.04ms
step:249/1390 train_time:596363ms step_avg:2395.03ms
step:250/1390 train_time:598755ms step_avg:2395.02ms
step:250/1390 val_loss:4.4716 train_time:598855ms step_avg:2395.42ms
step:251/1390 train_time:601153ms step_avg:2395.03ms
step:252/1390 train_time:603545ms step_avg:2395.02ms
step:253/1390 train_time:605939ms step_avg:2395.02ms
step:254/1390 train_time:608332ms step_avg:2395.01ms
step:255/1390 train_time:610729ms step_avg:2395.01ms
step:256/1390 train_time:613121ms step_avg:2395.00ms
step:257/1390 train_time:615515ms step_avg:2395.00ms
step:258/1390 train_time:617908ms step_avg:2394.99ms
step:259/1390 train_time:620304ms step_avg:2395.00ms
step:260/1390 train_time:622697ms step_avg:2394.99ms
step:261/1390 train_time:625091ms step_avg:2394.99ms
step:262/1390 train_time:627483ms step_avg:2394.97ms
step:263/1390 train_time:629879ms step_avg:2394.98ms
step:264/1390 train_time:632271ms step_avg:2394.97ms
step:265/1390 train_time:634665ms step_avg:2394.96ms
step:266/1390 train_time:637057ms step_avg:2394.95ms
step:267/1390 train_time:639451ms step_avg:2394.95ms
step:268/1390 train_time:641846ms step_avg:2394.95ms
step:269/1390 train_time:644239ms step_avg:2394.94ms
